"Cycle","8800 Lite (0,3): Position mm MAX","8800 Lite (0,3): Position mm MIN","8800 Lite (0,3): 100 kN kN MAX","8800 Lite (0,3): 100 kN kN MIN"
1,45.180,43.200,-0.008,-0.188
2,43.179,41.199,-0.089,-0.149
