"Time Sec","Position mm","100 kN kN","Cycle"
0.,47.6175,-0.0173569,1
0.02,47.6036,-0.00478029,1
0.04,47.5854,-0.00681877,1
0.06,47.5639,0.548363E-3,1
0.08,47.544,-0.00109077,1
0.1,47.5239,0.00457764,1
0.12,47.5032,0.00188351,1
0.14,47.4825,-0.00724196,1
0.16,47.4638,-0.0101566,1
0.18,47.4443,0.00758171,1
0.2,47.4211,-0.0181556,1
0.22,47.4029,0.00360012,1
0.24,47.3834,0.00119209,1
0.26,47.3614,-0.00590086,1
0.28,47.3424,-0.00347495,1
0.3,47.3223,-0.00359416,1
0.32,47.3017,0.00175238,1
0.34,47.2812,0.00320673,1
0.36,47.2619,-0.00830889,1
0.38,47.2423,-0.0213027,1
0.4,47.2211,-0.0380635,1
0.42,47.2028,-0.0499368,1
0.44,47.1822,-0.0752389,1
0.46,47.1603,-0.100917,1
0.48,47.1416,-0.163615,1
0.5,47.122,-0.179476,1
0.52,47.1014,-0.204152,1
0.54,47.0807,-0.257254,1
0.56,47.0614,-0.208724,1
0.58,47.042,-0.195533,1
0.6,47.0205,-0.20023,1
0.62,47.0011,-0.19564,1
0.64,46.9799,-0.194883,1
0.66,46.9603,-0.195831,1
0.68,46.94,-0.192088,1
0.7,46.9209,-0.185484,1
0.72,46.9002,-0.183672,1
0.74,46.8811,-0.197685,1
0.76,46.8609,-0.19688,1
0.78,46.8413,-0.195277,1
0.8,46.8199,-0.19874,1
0.82,46.8014,-0.217021,1
0.84,46.7825,-0.218803,1
0.86,46.7587,-0.212902,1
0.88,46.7416,-0.214088,1
0.9,46.7222,-0.222194,1
0.92,46.6992,-0.228071,1
0.94,46.6809,-0.23734,1
0.96,46.66,-0.2262,1
0.98,46.6398,-0.2343,1
1.,46.6191,-0.224596,1
1.02,46.6011,-0.218326,1
1.04,46.5797,-0.24401,1
1.06,46.5599,-0.241691,1
1.08,46.5407,-0.240111,1
1.1,46.5178,-0.235605,1
1.12,46.5001,-0.23247,1
1.14,46.4805,-0.236076,1
1.16,46.4585,-0.267822,1
1.18,46.4395,-0.258696,1
1.2,46.4206,-0.258726,1
1.22,46.3986,-0.260001,1
1.24,46.3799,-0.248158,1
1.26,46.36,-0.272024,1
1.28,46.3404,-0.275749,1
1.3,46.3191,-0.277877,1
1.32,46.2992,-0.283974,1
1.34,46.282,-0.280619,1
1.36,46.2584,-0.284237,1
1.38,46.2389,-0.29037,1
1.4,46.2196,-0.294173,1
1.42,46.1982,-0.288796,1
1.44,46.1773,-0.289375,1
1.46,46.1608,-0.275636,1
1.48,46.1397,-0.292361,1
1.5,46.1184,-0.294042,1
1.52,46.1002,-0.286609,1
1.54,46.081,-0.29617,1
1.56,46.0574,-0.292915,1
1.58,46.0394,-0.292295,1
1.6,46.0194,-0.290346,1
1.62,45.998,-0.300276,1
1.64,45.9798,-0.298607,1
1.66,45.959,-0.307071,1
1.68,45.9377,-0.308162,1
1.7,45.9188,-0.309008,1
1.72,45.8998,-0.307691,1
1.74,45.88,-0.304055,1
1.76,45.8583,-0.314993,1
1.78,45.8387,-0.315291,1
1.8,45.8192,-0.315249,1
1.82,45.7976,-0.314236,1
1.84,45.7798,-0.313562,1
1.86,45.7587,-0.31532,1
1.88,45.7387,-0.318211,1
1.9,45.7185,-0.32227,1
1.92,45.6988,-0.326896,1
1.94,45.6787,-0.319439,1
1.96,45.6591,-0.325501,1
1.98,45.6391,-0.339103,1
2.,45.6199,-0.319833,1
2.02,45.5977,-0.335503,1
2.04,45.5787,-0.336945,1
2.06,45.5589,-0.332612,1
2.08,45.5393,-0.327486,1
2.1,45.5179,-0.346208,1
2.12,45.4992,-0.340885,1
2.14,45.48,-0.342143,1
2.16,45.4576,-0.347948,1
2.18,45.4387,-0.342733,1
2.2,45.4192,-0.339061,1
2.22,45.3973,-0.33623,1
2.24,45.3784,-0.351876,1
2.26,45.3588,-0.337106,1
2.28,45.3382,-0.358129,1
2.3,45.3173,-0.361818,1
2.32,45.2991,-0.357962,1
2.34,45.2791,-0.348872,1
2.36,45.257,-0.353175,1
2.38,45.238,-0.346446,1
2.4,45.2184,-0.365382,1
2.42,45.1978,-0.363761,1
2.44,45.1787,-0.365442,1
2.46,45.1578,-0.36298,1
2.48,45.1383,-0.377899,1
2.5,45.1192,-0.370866,1
2.52,45.0997,-0.375587,1
2.54,45.0791,-0.365418,1
2.56,45.0573,-0.377303,1
2.58,45.0377,-0.375825,1
2.6,45.0181,-0.372654,1
2.62,44.9983,-0.373018,1
2.64,44.9795,-0.374663,1
2.66,44.96,-0.390917,1
2.68,44.9371,-0.378042,1
2.7,44.9179,-0.384706,1
2.72,44.8983,-0.379342,1
2.74,44.8783,-0.378507,1
2.76,44.8574,-0.388354,1
2.78,44.8383,-0.386542,1
2.8,44.8177,-0.388932,1
2.82,44.7971,-0.39376,1
2.84,44.7795,-0.403094,1
2.86,44.7575,-0.386286,1
2.88,44.7386,-0.398606,1
2.9,44.718,-0.399214,1
2.92,44.6981,-0.400925,1
2.94,44.6797,-0.401312,1
2.96,44.6576,-0.408155,1
2.98,44.6383,-0.408769,1
3.,44.6181,-0.398332,1
3.02,44.5981,-0.416058,1
3.04,44.5781,-0.422645,1
3.06,44.5588,-0.413603,1
3.08,44.5368,-0.417507,1
3.1,44.5186,-0.413066,1
3.12,44.4972,-0.407708,1
3.14,44.4783,-0.414032,1
3.16,44.4594,-0.415963,1
3.18,44.4387,-0.417483,1
3.2,44.4177,-0.422096,1
3.22,44.3977,-0.414401,1
3.24,44.3786,-0.410497,1
3.26,44.3575,-0.41821,1
3.28,44.3391,-0.421017,1
3.3,44.3194,-0.410229,1
3.32,44.2973,-0.421524,1
3.34,44.2778,-0.418955,1
3.36,44.2591,-0.424951,1
3.38,44.238,-0.429249,1
3.4,44.2158,-0.430483,1
