"Time Sec","Position mm","100 kN kN","Cycle"
3.74,41.4388,-0.111967,2
3.76,41.4184,-0.106329,2
3.78,41.3993,-0.0891924,2
3.8,41.3783,-0.0927031,2
3.82,41.3561,-0.0969529,2
3.84,41.3389,-0.0972867,2
3.86,41.3209,-0.093466,2
3.88,41.2982,-0.0919163,2
3.9,41.2771,-0.0941575,2
3.92,41.2593,-0.0922024,2
3.94,41.2388,-0.0977457,2
3.96,41.2188,-0.104219,2
3.98,41.199,-0.0902414,2
