"Time Sec","Position mm","100 kN kN","Cycle"
0.,46.4344,0.476837E-3,1
0.02,46.4221,-0.0187039,1
0.04,46.4019,-0.0177383,1
0.06,46.3813,-0.0395596,1
0.08,46.3602,-0.0610828,1
0.1,46.3412,-0.087744,1
0.12,46.3226,-0.148851,1
0.14,46.2991,-0.183427,1
0.16,46.28,-0.130963,1
0.18,46.2624,-0.14329,1
0.2,46.2403,-0.157756,1
0.22,46.2198,-0.159532,1
0.24,46.2011,-0.148064,1
0.26,46.1814,-0.144333,1
0.28,46.1586,-0.157583,1
0.3,46.1398,-0.158197,1
0.32,46.1205,-0.146931,1
0.34,46.1002,-0.143415,1
0.36,46.0788,-0.140971,1
0.38,46.0593,-0.143296,1
0.4,46.0401,-0.143635,1
0.42,46.0182,-0.150353,1
0.44,45.9981,-0.14742,1
0.46,45.9795,-0.148141,1
0.48,45.9589,-0.154245,1
0.5,45.9383,-0.144821,1
0.52,45.9196,-0.154185,1
0.54,45.8981,-0.15412,1
0.56,45.8792,-0.138992,1
0.58,45.8592,-0.152397,1
0.6,45.8384,-0.145006,1
0.62,45.8194,-0.156802,1
0.64,45.7996,-0.149602,1
0.66,45.7788,-0.147069,1
0.68,45.7578,-0.15257,1
0.7,45.7385,-0.146848,1
0.72,45.7178,-0.153172,1
0.74,45.6967,-0.157022,1
0.76,45.6788,-0.146061,1
0.78,45.659,-0.147516,1
0.8,45.6373,-0.134546,1
0.82,45.6172,-0.159043,1
0.84,45.5993,-0.149918,1
0.86,45.5782,-0.147158,1
0.88,45.5569,-0.149566,1
0.9,45.5395,-0.141865,1
0.92,45.5177,-0.154918,1
0.94,45.4964,-0.150734,1
0.96,45.4776,-0.138575,1
0.98,45.4575,-0.135499,1
1.,45.4383,-0.150657,1
1.02,45.4173,-0.157648,1
1.04,45.3983,-0.130385,1
1.06,45.3774,-0.150818,1
1.08,45.357,-0.155634,1
1.1,45.3373,-0.142509,1
1.12,45.3172,-0.14385,1
1.14,45.2953,-0.148135,1
1.16,45.2764,-0.134718,1
1.18,45.258,-0.143594,1
1.2,45.2365,-0.143379,1
1.22,45.216,-0.158101,1
1.24,45.198,-0.143176,1
1.26,45.1757,-0.144184,1
1.28,45.1573,-0.147718,1
1.3,45.1372,-0.160098,1
1.32,45.1168,-0.153041,1
1.34,45.0975,-0.149333,1
1.36,45.0776,-0.13743,1
1.38,45.0567,-0.163901,1
1.4,45.0361,-0.151217,1
1.42,45.0177,-0.137496,1
1.44,44.9962,-0.155103,1
1.46,44.9765,-0.138974,1
1.48,44.9577,-0.153351,1
1.5,44.9367,-0.137442,1
1.52,44.9168,-0.160986,1
1.54,44.8964,-0.14782,1
1.56,44.8766,-0.140882,1
1.58,44.8564,-0.144506,1
1.6,44.8354,-0.156105,1
1.62,44.8179,-0.143796,1
1.64,44.795,-0.145739,1
1.66,44.7759,-0.132823,1
1.68,44.7566,-0.139546,1
1.7,44.7373,-0.151443,1
1.72,44.7158,-0.155681,1
1.74,44.6963,-0.143421,1
1.76,44.6773,-0.144804,1
1.78,44.6548,-0.144732,1
