Iteration	CPUTime	PhysTime	Travels
1	1	0	0.0151912134
2	2	0	0.0303824269
3	2	0	0.0455736403
4	2	0	0.0607648537
5	2	0	0.0759560672
6	3	0	0.0911472806
7	3	0	0.106338494
8	3	0	0.121529707
9	4	0	0.136720921
10	4	0	0.151912134
11	4	0	0.167103348
12	5	0	0.182294561
13	5	0	0.197485775
14	5	0	0.212676988
15	6	0	0.227868201
16	6	0	0.243059415
17	6	0	0.258250628
18	7	0	0.273441842
19	7	0	0.288633055
20	7	0	0.303824269
21	8	0	0.319015482
22	8	0	0.334206696
23	8	0	0.349397909
24	8	0	0.364589122
25	9	0	0.379780336
26	9	0	0.394971549
27	9	0	0.410162763
28	10	0	0.425353976
29	10	0	0.44054519
30	10	0	0.455736403
31	11	0	0.470927616
32	11	0	0.48611883
33	11	0	0.501310043
34	11	0	0.516501257
35	12	0	0.53169247
36	12	0	0.546883684
37	12	0	0.562074897
38	13	0	0.57726611
39	13	0	0.592457324
40	13	0	0.607648537
41	13	0	0.622839751
42	14	0	0.638030964
43	14	0	0.653222178
44	14	0	0.668413391
45	15	0	0.683604604
46	15	0	0.698795818
47	15	0	0.713987031
48	16	0	0.729178245
49	16	0	0.744369458
50	16	0	0.759560672
51	16	0	0.774751885
52	17	0	0.789943098
53	17	0	0.805134312
54	17	0	0.820325525
55	18	0	0.835516739
56	18	0	0.850707952
57	18	0	0.865899166
58	19	0	0.881090379
59	19	0	0.896281593
60	19	0	0.911472806
61	20	0	0.926664019
62	20	0	0.941855233
63	20	0	0.957046446
64	20	0	0.97223766
65	21	0	0.987428873
66	21	0	1.00262009
