Time Sec,Position mm,200LB lb,Cycle,,,,,,,,,,,,,,,,,,
7.6,4.88976,-22.6442,1,,,,,,,,,,,,,,,,,,
7.7,4.7912,-22.3207,1,,,,,,,,,,,,,,,,,,
7.8,4.69019,-22.3751,1,,,,,,,,,,,,,,,,,,
7.9,4.58866,-22.2247,1,,,,,,,,,,,,,,,,,,
8,4.49,-22.4527,1,,,,,,,,,,,,,,,,,,
8.1,4.39164,-22.6678,1,,,,,,,,,,,,,,,,,,
8.2,4.28952,-22.6089,1,,,,,,,,,,,,,,,,,,
8.3,4.19083,-23.0133,1,,,,,,,,,,,,,,,,,,
8.4,4.08941,-23.0115,1,,,,,,,,,,,,,,,,,,
8.5,3.99122,-23.2397,1,,,,,,,,,,,,,,,,,,
8.6,3.89064,-23.2483,1,,,,,,,,,,,,,,,,,,
8.7,3.7913,-23.4249,1,,,,,,,,,,,,,,,,,,
8.8,3.6899,-23.4324,1,,,,,,,,,,,,,,,,,,
8.9,3.59126,-23.3752,1,,,,,,,,,,,,,,,,,,
9,3.4901,-23.458,1,,,,,,,,,,,,,,,,,,
9.1,3.39008,-23.3464,1,,,,,,,,,,,,,,,,,,
9.2,3.29208,-23.421,1,,,,,,,,,,,,,,,,,,
9.3,3.19039,-23.3021,1,,,,,,,,,,,,,,,,,,
9.4,3.09087,-23.0246,1,,,,,,,,,,,,,,,,,,
9.5,2.99071,-23.043,1,,,,,,,,,,,,,,,,,,
9.6,2.89198,-23.0078,1,,,,,,,,,,,,,,,,,,
9.7,2.78997,-22.9776,1,,,,,,,,,,,,,,,,,,
9.8,2.69028,-23.0291,1,,,,,,,,,,,,,,,,,,
9.9,2.58903,-22.9733,1,,,,,,,,,,,,,,,,,,
10,2.49022,-22.8391,1,,,,,,,,,,,,,,,,,,
10.1,2.38747,-22.7593,1,,,,,,,,,,,,,,,,,,
10.2,2.29058,-22.3834,1,,,,,,,,,,,,,,,,,,
10.3,2.18868,-27.6368,1,,,,,,,,,,,,,,,,,,
10.4,2.09036,-29.534,1,,,,,,,,,,,,,,,,,,
10.5,1.98897,-30.2911,1,,,,,,,,,,,,,,,,,,
10.6,1.89056,-30.754,1,,,,,,,,,,,,,,,,,,
10.7,1.7903,-30.2963,1,,,,,,,,,,,,,,,,,,
10.8,1.69139,-29.8927,1,,,,,,,,,,,,,,,,,,
10.9,1.58827,-29.5682,1,,,,,,,,,,,,,,,,,,
11,1.48953,-28.0286,1,,,,,,,,,,,,,,,,,,
11.1,1.39104,-27.4928,1,,,,,,,,,,,,,,,,,,
11.2,1.28671,-24.9954,1,,,,,,,,,,,,,,,,,,
11.3,1.19019,-24.8307,1,,,,,,,,,,,,,,,,,,
11.4,1.09027,-25.0136,1,,,,,,,,,,,,,,,,,,
11.5,0.990949,-25.4858,1,,,,,,,,,,,,,,,,,,
11.6,0.888803,-23.8946,1,,,,,,,,,,,,,,,,,,
11.7,0.791073,-24.0522,1,,,,,,,,,,,,,,,,,,
11.8,0.689863,-23.9146,1,,,,,,,,,,,,,,,,,,
11.9,0.591302,-24.0819,1,,,,,,,,,,,,,,,,,,
12,0.488982,-23.092,1,,,,,,,,,,,,,,,,,,
12.1,0.389763,-22.017,1,,,,,,,,,,,,,,,,,,
12.2,0.289304,-23.1694,1,,,,,,,,,,,,,,,,,,
12.3,0.189986,-22.3702,1,,,,,,,,,,,,,,,,,,
12.4,0.0897869,-22.2617,1,,,,,,,,,,,,,,,,,,
12.5,-0.00969865,-20.6507,1,,,,,,,,,,,,,,,,,,
12.6,-0.110617,-20.723,1,,,,,,,,,,,,,,,,,,
12.7,-0.208319,-22.2726,1,,,,,,,,,,,,,,,,,,
12.8,-0.30938,-18.7286,1,,,,,,,,,,,,,,,,,,
12.9,-0.408776,-18.2974,1,,,,,,,,,,,,,,,,,,
13,-0.510016,-17.6317,1,,,,,,,,,,,,,,,,,,
13.1,-0.6105,-17.1926,1,,,,,,,,,,,,,,,,,,
13.2,-0.709233,-14.2622,1,,,,,,,,,,,,,,,,,,
13.3,-0.811713,-12.4717,1,,,,,,,,,,,,,,,,,,
13.4,-0.909611,-10.8307,1,,,,,,,,,,,,,,,,,,
13.5,-1.00941,-10.4864,1,,,,,,,,,,,,,,,,,,
13.6,-1.10957,-8.52968,1,,,,,,,,,,,,,,,,,,
13.7,-1.20914,-6.84657,1,,,,,,,,,,,,,,,,,,
