Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
91	79	0	1.0500188	0	0	0	0	0	5e-006	100	0	0	0	3
92	79	0	1.06155747	0	0	0	0	0	5e-006	100	0	0	0	3
93	80	0	1.07309614	0	0	0	0	0	5e-006	100	0	0	0	3
94	81	0	1.08463481	0	0	0	0	0	5e-006	100	0	0	0	3
95	82	0	1.09617348	0	0	0	0	0	5e-006	100	0	0	0	3
96	83	0	1.10771214	0	0	0	0	0	5e-006	100	0	0	0	3
97	83	0	1.11925081	0	0	0	0	0	5e-006	100	0	0	0	3
98	84	0	1.13078948	0	0	0	0	0	5e-006	100	0	0	0	3
99	85	0	1.14232815	0	0	0	0	0	5e-006	100	0	0	0	3
100	86	0	1.15386682	0	0	0	0	0	5e-006	100	0	0	0	3
101	87	0	1.16540548	0	0	0	0	0	5e-006	100	0	0	0	3
102	88	0	1.17694415	0	0	0	0	0	5e-006	100	0	0	0	3
103	88	0	1.18848282	0	0	0	0	0	5e-006	100	0	0	0	3
