Time (s),Thrust (N),Oxidizer Tank Pressure (kPa),Combustion Chamber Pressure (kPa),Injector Pressure Drop (kPa),Oxidizer Mass (kg),Fuel Mass (kg),Oxidizer Mass Flow Rate (kg/s),Fuel Mass Flow Rate (kg/s),Exhaust Mass Flow Rate (kg/s),Oxidizer to Fuel Ratio,Grain ID (cm),Regression Rate (mm/s)
0,0,4136.84,101.325,0,5.2519327,1.42336,0,0,0,0,6.096,0
0.001,0,4136.84,156.03804,-1.1503587,5.2471255,1.4228195,4.807161,0.54047346,0.078054473,8.8943516,6.0980576,0.01028779
0.002,0,4135.6896,210.21261,-1.1346858,5.2423516,1.4222811,4.7739725,0.53837935,0.12005104,8.8673024,6.1001065,0.010244471
0.003,0,4134.5549,263.77561,-1.1270589,5.2376107,1.4217448,4.7408781,0.53628497,0.16154427,8.8402219,6.1021467,0.010201191
0.004,53.31276,4133.4279,316.68683,-1.1194015,5.2329028,1.4212106,4.7079208,0.534193,0.20249182,8.8131458,6.1041783,0.010158
0.005,136.01057,4132.3085,368.92236,-1.1117804,5.2282276,1.4206785,4.6751284,0.53210523,0.24287614,8.7860973,6.1062013,0.010114932
0.006,217.61117,4131.1967,420.46759,-1.1041995,5.2235851,1.4201485,4.6425192,0.53002285,0.28269157,8.7590925,6.1082157,0.01007201
0.007,298.10189,4130.0925,471.31369,-1.096662,5.218975,1.4196206,4.6101063,0.52794672,0.32193891,8.732143,6.1102215,0.010029248
0.008,377.47608,4128.9958,521.45569,-1.0891703,5.2143971,1.4190947,4.5778996,0.52587754,0.3606227,8.7052579,6.1122189,0.0099866613
0.009,455.72218,4127.9066,570.89206,-1.0817261,5.2098512,1.4185709,4.5459067,0.52381583,0.39866636,8.6784447,6.1142077,0.0099442579
0.01,532.83398,4126.8249,619.62397,-1.074331,5.2053371,1.4180491,4.5141333,0.52176203,0.4360031,8.6517092,6.1161881,0.009902046
0.011,608.82613,4125.7506,667.65315,-1.0669859,5.2008545,1.4175294,4.4825835,0.51971646,0.4727298,8.6250558,6.1181601,0.0098600313
0.012,683.70349,4124.6836,714.98249,-1.0596918,5.1964032,1.4170117,4.451261,0.51767944,0.50885103,8.5984891,6.1201238,0.0098182193
0.013,757.47231,4123.6239,761.61573,-1.0524495,5.1919831,1.416496,4.4201689,0.51565123,0.54437213,8.5720127,6.1220791,0.0097766148
0.014,830.1399,4122.5715,807.55732,-1.0452595,5.1875937,1.4159824,4.3893098,0.51363207,0.57929902,8.5456302,6.1240261,0.0097352219
0.015,901.71448,4121.5262,852.81225,-1.0381226,5.1832351,1.4154708,4.3586858,0.51162219,0.61363807,8.5193447,6.1259649,0.0096940441
0.016,972.20428,4120.4881,897.38592,-1.0310391,5.1789068,1.4149612,4.3282988,0.50962178,0.64739769,8.493159,6.1278956,0.0096530849
0.017,1041.617,4119.457,941.28408,-1.0240095,5.1746086,1.4144535,4.2981503,0.50763101,0.68058885,8.4670759,6.129818,0.0096123472
0.018,1109.964,4118.433,984.51276,-1.0170341,5.1703404,1.4139479,4.2682417,0.50565007,0.71321451,8.4410978,6.1317324,0.0095718337
0.019,1177.2552,4117.416,1027.0783,-1.0101132,5.1661018,1.4134442,4.238574,0.5036791,0.74528197,8.415227,6.1336387,0.0095315469
0.02,1243.5135,4116.4059,1068.9857,-1.0032472,5.1618927,1.4129425,4.2091481,0.50171824,0.77692913,8.3894659,6.135537,0.0094914892
0.021,1308.7432,4115.4026,1110.2409,-0.99643647,5.1577127,1.4124427,4.1799659,0.49976771,0.80811585,8.3638174,6.1374273,0.0094516639
0.022,1372.9474,4114.4062,1150.8505,-0.98968134,5.1535617,1.4119449,4.1510285,0.49782767,0.8387764,8.338284,6.1393098,0.0094120737
0.023,1436.1367,4113.4165,1190.8211,-0.98298202,5.1494393,1.411449,4.1223365,0.49589824,0.86891742,8.3128678,6.1411843,0.0093727208
0.024,1498.3223,4112.4335,1230.1598,-0.97633869,5.1453454,1.410955,4.0938906,0.49397957,0.89854558,8.2875708,6.143051,0.009333607
0.025,1559.5151,4111.4572,1268.8734,-0.9697515,5.1412797,1.4104629,4.0656912,0.49207176,0.92766756,8.2623949,6.14491,0.0092947341
0.026,1619.7264,4110.4874,1306.9688,-0.96322058,5.137242,1.4099728,4.0377385,0.49017493,0.95629006,8.2373419,6.1467612,0.0092561041
0.027,1678.9673,4109.5242,1344.4531,-0.95674604,5.133232,1.4094845,4.010033,0.4882892,0.98441977,8.2124138,6.1486047,0.0092177184
0.028,1737.2491,4108.5675,1381.3333,-0.95032798,5.1292494,1.4089981,3.9825748,0.48641468,1.0120633,8.1876123,6.1504406,0.0091795788
0.029,1794.5831,4107.6171,1417.6163,-0.94396649,5.125294,1.4085135,3.9553641,0.48455147,1.0392274,8.1629391,6.152269,0.0091416868
0.03,1850.9805,4106.6732,1453.3093,-0.93766162,5.1213656,1.4080308,3.928401,0.48269967,1.0659187,8.1383959,6.1540898,0.0091040439
0.031,1906.4527,4105.7355,1488.4194,-0.93141344,5.1174639,1.40755,3.9016855,0.48085938,1.0921436,8.1139844,6.1559031,0.0090666515
0.032,1961.0109,4104.8041,1522.9534,-0.92522198,5.1135887,1.4070709,3.8752177,0.4790307,1.1179088,8.0897063,6.157709,0.009029511
0.033,2014.6725,4103.8789,1556.9179,-0.91908728,5.1097397,1.4065937,3.8489974,0.47721373,1.1432858,8.065563,6.1595076,0.0089926237
0.034,2067.4449,4102.9598,1590.3194,-0.91300949,5.1059167,1.4061183,3.8230251,0.47540858,1.1682502,8.0415568,6.1612987,0.0089559917
0.035,2119.3356,4102.0468,1623.165,-0.90698867,5.1021194,1.4056447,3.797301,0.47361538,1.1927755,8.0176893,6.1630827,0.0089196166
0.036,2170.3504,4101.1398,1655.4614,-0.90102484,5.0983476,1.4051729,3.7718248,0.47183421,1.2168796,7.9939623,6.1648594,0.0088834995
0.037,2220.4899,4100.2388,1687.2152,-0.895118,5.094601,1.4047028,3.7465966,0.47006515,1.240592,7.9703772,6.1666289,0.008847642
0.038,2269.779,4099.3437,1718.4334,-0.88926823,5.0908794,1.4042345,3.7216163,0.46830833,1.2638855,7.9469359,6.1683913,0.0088120454
0.039,2318.2288,4098.4544,1749.1227,-0.8834755,5.0871825,1.4037679,3.6968837,0.46656382,1.2867661,7.9236399,6.1701467,0.0087767111
0.04,2365.8502,4097.5709,1779.29,-0.87773978,5.0835101,1.4033031,3.6723986,0.46483171,1.3092397,7.9004906,6.171895,0.00874164
0.041,2412.6539,4096.6932,1808.9421,-0.87206105,5.0798619,1.40284,3.6481606,0.46311208,1.331312,7.8774895,6.1736363,0.0087068335
0.042,2458.6508,4095.8211,1838.0856,-0.86643925,5.0762378,1.4023786,3.6241693,0.46140501,1.352989,7.8546381,6.1753708,0.0086722924
0.043,2503.8516,4094.9547,1866.7274,-0.86087434,5.0726373,1.4019189,3.6004245,0.45971057,1.3742763,7.8319378,6.1770984,0.0086380179
0.044,2548.267,4094.0938,1894.8741,-0.85536626,5.0690604,1.4014608,3.5769257,0.45802883,1.3951797,7.8093898,6.1788192,0.0086040109
0.045,2591.9074,4093.2384,1922.5323,-0.84991495,5.0655067,1.4010045,3.5536725,0.45635988,1.4157047,7.7869957,6.1805333,0.0085702725
0.046,2634.7835,4092.3885,1949.7085,-0.84452033,5.0619761,1.4005498,3.5306643,0.45470379,1.4358569,7.7647568,6.1822406,0.0085368034
0.047,2676.9056,4091.544,1976.4093,-0.83918231,5.0584682,1.4000967,3.5079008,0.45306062,1.4556419,7.7426743,6.1839413,0.0085036047
0.048,2718.2841,4090.7048,2002.6412,-0.83390083,5.0549828,1.3996453,3.4853814,0.45143044,1.475065,7.7207496,6.1856355,0.0084706772
0.049,2758.9301,4089.8709,2028.4105,-0.82867576,5.0515197,1.3991955,3.4631054,0.44981331,1.4941368,7.6989839,6.1873231,0.0084380217
0.05,2798.8597,4089.0422,2053.7232,-0.82350704,5.0480786,1.3987473,3.4410725,0.44820931,1.5129023,7.6773785,6.1890042,0.008405639
0.051,2838.0752,4088.2187,2078.5856,-0.81839464,5.0446593,1.3983006,3.4192824,0.44661852,1.531322,7.655935,6.1906789,0.0083735305
0.052,2876.5866,4087.4003,2103.004,-0.81333844,5.0412616,1.3978556,3.3977343,0.445041,1.5494011,7.6346546,6.1923473,0.0083416968
0.053,2914.404,4086.587,2126.9846,-0.80833833,5.0378852,1.3974121,3.3764278,0.44347682,1.5671448,7.6135385,6.1940093,0.0083101387
0.054,2951.5371,4085.7787,2150.5336,-0.80339417,5.0345298,1.3969702,3.3553621,0.44192602,1.5845582,7.5925878,6.1956651,0.0082788568
0.055,2987.9959,4084.9753,2173.6571,-0.79850582,5.0311953,1.3965298,3.3345364,0.44038865,1.6016462,7.5718037,6.1973146,0.0082478517
0.056,3023.7899,4084.1768,2196.3613,-0.79367314,5.0278813,1.3960909,3.3139501,0.43886478,1.618414,7.5511871,6.1989581,0.0082171239
0.057,3058.9288,4083.3831,2218.6521,-0.78889598,5.0245877,1.3956536,3.2936023,0.43735444,1.6348663,7.5307393,6.2005954,0.0081866741
0.058,3093.4221,4082.5942,2240.5355,-0.78417418,5.0213142,1.3952177,3.2734922,0.43585769,1.651008,7.510461,6.2022267,0.0081565025
0.059,3127.2481,4081.81,2262.0169,-0.77950757,5.0180606,1.3947834,3.2536191,0.43437457,1.6669036,7.4903535,6.203852,0.0081266098
0.06,3160.4118,4081.0305,2283.1014,-0.77489612,5.0148266,1.3943504,3.2339825,0.43290515,1.6825633,7.4704181,6.2054714,0.0080969971
0.061,3192.9553,4080.2556,2303.7949,-0.7703398,5.011612,1.393919,3.2145823,0.43144954,1.6979277,7.4506565,6.2070849,0.0080676655
0.062,3224.8878,4079.4853,2324.103,-0.76583843,5.0084166,1.393489,3.1954176,0.43000776,1.7130011,7.4310696,6.2086927,0.0080386156
0.063,3256.2183,4078.7194,2344.0316,-0.7613918,5.0052401,1.3930604,3.1764874,0.42857985,1.7277882,7.4116582,6.2102946,0.0080098474
0.064,3286.9562,4077.958,2363.5863,-0.75699973,5.0020823,1.3926332,3.1577907,0.42716585,1.7422934,7.3924232,6.2118909,0.0079813613
0.065,3317.1103,4077.201,2382.7727,-0.75266201,4.998943,1.3922075,3.1393267,0.42576578,1.7565211,7.3733654,6.2134815,0.0079531576
0.066,3346.6895,4076.4484,2401.5963,-0.74837842,4.9958219,1.3917831,3.1210942,0.42437967,1.7704757,7.3544856,6.2150666,0.0079252362
0.067,3375.7028,4075.7,2420.0628,-0.74414875,4.9927188,1.3913601,3.1030922,0.42300755,1.7841614,7.3357844,6.2166461,0.0078975974
0.068,3404.1588,4074.9559,2438.1775,-0.73997277,4.9896335,1.3909384,3.0853197,0.42164944,1.7975825,7.3172626,6.2182202,0.0078702411
0.069,3432.0663,4074.2159,2455.9458,-0.73585025,4.9865657,1.3905181,3.0677756,0.42030536,1.8107433,7.2989209,6.2197888,0.0078431675
0.07,3459.4338,4073.48,2473.3731,-0.73178094,4.9835153,1.3900992,3.0504586,0.41897532,1.8236479,7.2807597,6.2213521,0.0078163763
0.071,3486.2697,4072.7482,2490.4647,-0.7277646,4.9804819,1.3896815,3.0333678,0.41765934,1.8363004,7.2627797,6.22291,0.0077898676
0.072,3512.5826,4072.0205,2507.2258,-0.72380097,4.9774654,1.3892651,3.0165018,0.41635743,1.8487049,7.2449814,6.2244628,0.0077636411
0.073,3538.383,4071.2967,2523.6615,-0.71988979,4.9744655,1.3888501,2.9998595,0.41506959,1.8608752,7.2273653,6.2260103,0.0077376966
0.074,3563.6796,4070.5768,2539.7768,-0.71603081,4.9714821,1.3884363,2.9834398,0.41379584,1.8728179,7.2099319,6.2275527,0.007712034
0.075,3588.4774,4069.8608,2555.5768,-0.71222379,4.9685149,1.3880237,2.9672415,0.41253618,1.8845242,7.1926817,6.22909,0.0076866532
0.076,3612.7844,4069.1485,2571.0666,-0.70846844,4.9655636,1.3876125,2.9512632,0.41129063,1.8959978,7.1756151,6.2306224,0.0076615539
0.077,3636.6086,4068.4401,2586.2511,-0.70476448,4.9626281,1.3872024,2.9355038,0.41005916,1.9072426,7.1587323,6.2321497,0.0076367354
0.078,3659.958,4067.7353,2601.1351,-0.7011116,4.9597081,1.3867935,2.9199618,0.40884178,1.9182624,7.1420337,6.2336721,0.0076121975
0.079,3682.8402,4067.0342,2615.7238,-0.6975095,4.9568035,1.3863859,2.9046358,0.40763847,1.9290609,7.1255194,6.2351897,0.0075879395
0.08,3705.263,4066.3367,2630.0217,-0.69395787,4.953914,1.3859795,2.8895245,0.40644921,1.9396418,7.1091895,6.2367025,0.0075639608
0.081,3727.234,4065.6427,2644.0337,-0.69045639,4.9510393,1.3855742,2.8746264,0.405274,1.9500088,7.0930443,6.2382106,0.0075402607
0.082,3748.7608,4064.9523,2657.7646,-0.68700474,4.9481794,1.3851701,2.8599401,0.4041128,1.9601655,7.0770837,6.2397139,0.0075168387
0.083,3769.8508,4064.2653,2671.2189,-0.68360258,4.9453339,1.3847671,2.8454641,0.4029656,1.9701154,7.0613077,6.2412127,0.0074936938
0.084,3790.5114,4063.5817,2684.4012,-0.68024959,4.9425027,1.3843653,2.8311968,0.40183236,1.9798622,7.0457164,6.2427068,0.0074708253
0.085,3810.7498,4062.9014,2697.3163,-0.67694541,4.9396856,1.3839646,2.8171369,0.40071306,1.9894091,7.0303096,6.2441965,0.0074482323
0.086,3830.5733,4062.2245,2709.9684,-0.67368969,4.9368823,1.383565,2.8032826,0.39960766,1.9987598,7.0150873,6.2456817,0.0074259138
0.087,3849.9889,4061.5508,2722.3621,-0.6704821,4.9340927,1.3831664,2.7896325,0.39851614,2.0079176,7.0000491,6.2471624,0.0074038689
0.088,3868.8889,4060.8803,2734.4996,-0.66732225,4.9313165,1.382769,2.776185,0.39743843,2.0170895,6.985195,6.2486389,0.0073820965
0.089,3887.3918,4060.213,2746.3852,-0.66421037,4.9285536,1.3823726,2.7629406,0.3963747,2.0260738,6.9705273,6.250111,0.0073605989
0.09,3905.505,4059.5488,2758.0233,-0.66114605,4.9258037,1.3819773,2.7498979,0.39532488,2.0348729,6.9560455,6.2515789,0.007339375
0.091,3923.2352,4058.8876,2769.4183,-0.6581289,4.9230666,1.381583,2.737055,0.39428894,2.0434901,6.9417493,6.2530425,0.0073184235
0.092,3940.5894,4058.2295,2780.5742,-0.65515856,4.9203422,1.3811897,2.7244103,0.39326681,2.0519284,6.9276384,6.2545021,0.0072977431
0.093,3957.5742,4057.5743,2791.4953,-0.65223461,4.9176302,1.3807975,2.711962,0.39225845,2.0601909,6.9137122,6.2559576,0.0072773325
0.094,3974.1961,4056.9221,2802.1857,-0.64935666,4.9149305,1.3804062,2.6997085,0.39126379,2.0682807,6.8999702,6.257409,0.0072571904
0.095,3990.4619,4056.2727,2812.6496,-0.64652432,4.9122429,1.3800159,2.6876479,0.39028277,2.0762008,6.886412,6.2588565,0.0072373153
0.096,4006.3778,4055.6262,2822.8908,-0.64373716,4.9095671,1.3796266,2.6757786,0.38931533,2.0839541,6.8730367,6.2603,0.0072177057
0.097,4021.9503,4054.9825,2832.9135,-0.64099479,4.906903,1.3792383,2.6640986,0.3883614,2.0915437,6.8598439,6.2617397,0.00719836
0.098,4037.1856,4054.3415,2842.7214,-0.63829678,4.9042504,1.3788508,2.6526061,0.3874209,2.0989724,6.8468328,6.2631755,0.0071792767
0.099,4052.0899,4053.7032,2852.3186,-0.63564271,4.9016091,1.3784644,2.6412995,0.38649377,2.106243,6.8340027,6.2646076,0.0071604541
0.1,4066.6694,4053.0675,2861.7087,-0.63303216,4.8989789,1.3780788,2.6301767,0.38557992,2.1133584,6.8213527,6.266036,0.0071418906
0.101,4080.93,4052.4345,2870.8957,-0.6304647,4.8963597,1.3776941,2.6192359,0.38467929,2.1203214,6.808882,6.2674607,0.0071235843
0.102,4094.8776,4051.804,2879.8831,-0.62793989,4.8937512,1.3773103,2.6084753,0.38379177,2.1271347,6.7965898,6.2688818,0.0071055336
0.103,4108.5182,4051.1761,2888.6746,-0.6254573,4.8911533,1.3769274,2.5978929,0.3829173,2.1338011,6.7844751,6.2702994,0.0070877365
0.104,4121.8575,4050.5506,2897.274,-0.62301649,4.8885658,1.3765453,2.5874869,0.38205578,2.1403232,6.7725369,6.2717134,0.0070701912
0.105,4134.9011,4049.9276,2905.6846,-0.62061701,4.8859886,1.3761641,2.5772554,0.38120713,2.1467036,6.7607743,6.273124,0.0070528957
0.106,4147.6548,4049.307,2913.9102,-0.61825842,4.8834214,1.3757837,2.5671963,0.38037124,2.152945,6.7491862,6.2745312,0.0070358482
0.107,4160.1239,4048.6888,2921.954,-0.61594027,4.8808641,1.3754042,2.5573079,0.37954803,2.1590499,6.7377715,6.275935,0.0070190465
0.108,4172.3139,4048.0728,2929.8196,-0.61366212,4.8783165,1.3750255,2.5475881,0.3787374,2.1650209,6.726529,6.2773355,0.0070024887
0.109,4184.2303,4047.4592,2937.5102,-0.61142349,4.8757784,1.3746475,2.538035,0.37793925,2.1708604,6.7154576,6.2787327,0.0069861726
0.11,4195.8782,4046.8477,2945.0293,-0.60922395,4.8732498,1.3742704,2.5286467,0.37715347,2.1765709,6.7045562,6.2801267,0.0069700962
0.111,4207.2629,4046.2385,2952.3801,-0.60706304,4.8707304,1.373894,2.5194211,0.37637997,2.1821548,6.6938234,6.2815176,0.0069542573
0.112,4218.3895,4045.6314,2959.5658,-0.60494028,4.86822,1.3735184,2.5103563,0.37561864,2.1876146,6.6832581,6.2829053,0.0069386536
0.113,4229.263,4045.0265,2966.5896,-0.60285524,4.8657186,1.3731435,2.5014504,0.37486936,2.1929525,6.6728588,6.28429,0.0069232831
0.114,4239.8884,4044.4236,2973.4546,-0.60080744,4.8632259,1.3727694,2.4927013,0.37413204,2.198171,6.6626244,6.2856716,0.0069081434
0.115,4250.2705,4043.8228,2980.1638,-0.59879641,4.8607418,1.372396,2.484107,0.37340656,2.2032722,6.6525533,6.2870502,0.0068932323
0.116,4260.4142,4043.224,2986.7204,-0.59682171,4.8582661,1.3720233,2.4756657,0.3726928,2.2082584,6.6426442,6.2884259,0.0068785474
0.117,4270.3243,4042.6272,2993.1273,-0.59488286,4.8557987,1.3716513,2.4673753,0.37199066,2.2131319,6.6328958,6.2897988,0.0068640864
0.118,4280.0053,4042.0323,2999.3875,-0.59297941,4.8533395,1.37128,2.4592338,0.37130001,2.2178948,6.6233065,6.2911687,0.006849847
0.119,4289.4618,4041.4394,3005.5037,-0.59111088,4.8508883,1.3709094,2.4512392,0.37062074,2.2225493,6.6138748,6.2925359,0.0068358267
0.12,4298.6993,4040.8482,3011.4789,-0.58927681,4.8484449,1.3705394,2.4433896,0.36995274,2.2271031,6.6045994,6.2939003,0.0068220233
0.121,4307.7214,4040.259,3017.3158,-0.58747676,4.8460092,1.3701701,2.4356831,0.36929587,2.2315531,6.5954787,6.295262,0.0068084343
0.122,4316.5321,4039.6715,3023.0172,-0.58571026,4.8435811,1.3698015,2.4281176,0.36865004,2.2359007,6.5865112,6.296621,0.0067950574
0.123,4325.1358,4039.0858,3028.5857,-0.58397685,4.8411604,1.3694334,2.4206912,0.3680151,2.240148,6.5776953,6.2979774,0.00678189
0.124,4333.5368,4038.5018,3034.0241,-0.58227607,4.838747,1.3690661,2.413402,0.36739095,2.244297,6.5690295,6.2993312,0.0067689298
0.125,4341.739,4037.9195,3039.335,-0.58060746,4.8363407,1.3686993,2.4062479,0.36677745,2.2483495,6.5605121,6.3006824,0.0067561742
0.126,4349.7468,4037.3389,3044.5209,-0.57897055,4.8339415,1.3683331,2.399227,0.36617448,2.2523076,6.5521416,6.3020311,0.0067436208
0.127,4357.5639,4036.76,3049.5845,-0.57736489,4.8315492,1.3679675,2.3923374,0.36558191,2.2561731,6.5439163,6.3033774,0.0067312669
0.128,4365.1944,4036.1826,3054.5281,-0.57579002,4.8291636,1.3676025,2.3855771,0.36499963,2.2599478,6.5358345,6.3047212,0.0067191102
0.129,4372.6422,4035.6068,3059.3543,-0.57424548,4.8267846,1.3672381,2.3789442,0.36442749,2.2636337,6.5278946,6.3060626,0.0067071481
0.13,4379.9109,4035.0326,3064.0654,-0.57273083,4.8244122,1.3668742,2.3724367,0.36386537,2.2672325,6.5200949,6.3074017,0.006695378
0.131,4387.0045,4034.4598,3068.6638,-0.5712456,4.8220461,1.3665109,2.3660528,0.36331315,2.2707461,6.5124337,6.3087385,0.0066837974
0.132,4393.9264,4033.8886,3073.1519,-0.56978935,4.8196864,1.3661481,2.3597905,0.36277069,2.274176,6.5049094,6.3100729,0.0066724039
0.133,4400.6546,4033.3188,3077.5314,-0.56836163,4.8173327,1.3657859,2.3536479,0.36223787,2.2775771,6.4975202,6.3114052,0.0066611947
0.134,4407.1678,4032.7504,3081.8034,-0.56696218,4.8149851,1.3654242,2.3476238,0.36171462,2.281,6.4902652,6.3127352,0.0066501686
0.135,4413.5187,4032.1835,3085.9703,-0.56559089,4.8126434,1.365063,2.3417178,0.36120092,2.2843407,6.4831444,6.3140631,0.0066393251
0.136,4419.711,4031.6179,3090.0341,-0.56424729,4.8103074,1.3647023,2.3359278,0.36069664,2.287601,6.4761561,6.3153888,0.0066286615
0.137,4425.7481,4031.0536,3093.9972,-0.56293091,4.8079772,1.3643421,2.330252,0.36020165,2.2907824,6.4692984,6.3167124,0.0066181752
0.138,4431.6333,4030.4907,3097.8617,-0.56164133,4.8056525,1.3639824,2.3246885,0.35971581,2.2938867,6.4625696,6.318034,0.0066078637
0.139,4437.3698,4029.9291,3101.6296,-0.56037808,4.8033333,1.3636231,2.3192353,0.35923899,2.2969154,6.4559677,6.3193536,0.0065977243
0.14,4442.9611,4029.3687,3105.3031,-0.55914073,4.8010194,1.3632644,2.3138907,0.35877105,2.29987,6.4494911,6.3206711,0.0065877544
0.141,4448.4102,4028.8095,3108.8843,-0.55792885,4.7987107,1.3629061,2.3086528,0.35831187,2.3027521,6.443138,6.3219867,0.0065779514
0.142,4453.7202,4028.2516,3112.375,-0.55674199,4.7964072,1.3625482,2.3035197,0.35786131,2.3055633,6.4369065,6.3233004,0.0065683127
0.143,4458.8942,4027.6949,3115.7772,-0.55557974,4.7941087,1.3621908,2.2984897,0.35741923,2.308305,6.4307948,6.3246121,0.0065588357
0.144,4463.9352,4027.1393,3119.0929,-0.55444165,4.7918151,1.3618338,2.2935609,0.3569855,2.3109787,6.4248012,6.325922,0.006549518
0.145,4468.8461,4026.5848,3122.324,-0.55332732,4.7895264,1.3614772,2.2887315,0.35656001,2.3135858,6.4189238,6.3272301,0.0065403569
0.146,4473.6299,4026.0315,3125.4723,-0.55223632,4.7872424,1.3611211,2.2839998,0.3561426,2.3161277,6.4131609,6.3285364,0.0065313499
0.147,4478.2893,4025.4793,3128.5396,-0.55116823,4.7849631,1.3607654,2.279364,0.35573316,2.3186058,6.4075108,6.3298409,0.0065224945
0.148,4482.8271,4024.9281,3131.5277,-0.55012266,4.7826882,1.36041,2.2748225,0.35533155,2.3210215,6.4019716,6.3311436,0.0065137882
0.149,4487.246,4024.378,3134.4383,-0.54909918,4.7804179,1.3600551,2.2703734,0.35493765,2.3233762,6.3965415,6.3324447,0.0065052285
0.15,4491.5487,4023.8289,3137.2732,-0.54809741,4.7781518,1.3597005,2.2660151,0.35455132,2.325671,6.3912189,6.333744,0.0064968129
0.151,4495.7378,4023.2808,3140.0341,-0.54711695,4.7758901,1.3593464,2.261746,0.35417245,2.3279074,6.386002,6.3350418,0.0064885391
0.152,4499.8157,4022.7337,3142.7225,-0.5461574,4.7736325,1.3589926,2.2575643,0.35380091,2.3300865,6.3808891,6.3363378,0.0064804045
0.153,4503.7852,4022.1875,3145.3401,-0.54521837,4.7713791,1.3586391,2.2534685,0.35343656,2.3322097,6.3758783,6.3376323,0.0064724068
0.154,4507.6485,4021.6423,3147.8884,-0.5442995,4.7691296,1.358286,2.2494569,0.35307929,2.3342781,6.3709681,6.3389252,0.0064645435
0.155,4511.4081,4021.098,3150.3691,-0.54340038,4.7668841,1.3579333,2.245528,0.35272898,2.3362929,6.3661568,6.3402166,0.0064568124
0.156,4515.0663,4020.5546,3152.7836,-0.54252066,4.7646424,1.3575809,2.2416801,0.3523855,2.3382553,6.3614425,6.3415064,0.006449211
0.157,4518.6254,4020.0121,3155.1335,-0.54165997,4.7624045,1.3572289,2.2379117,0.35204873,2.3401664,6.3568238,6.3427948,0.0064417371
0.158,4522.0877,4019.4704,3157.4201,-0.54081793,4.7601703,1.3568772,2.2342213,0.35171855,2.3420274,6.3522988,6.3440817,0.0064343884
0.159,4525.4555,4018.9296,3159.6449,-0.5399942,4.7579397,1.3565258,2.2306074,0.35139485,2.3438394,6.3478661,6.3453671,0.0064271625
0.16,4528.7307,4018.3896,3161.8093,-0.53918842,4.7557126,1.3561747,2.2270685,0.35107751,2.3456035,6.3435239,6.3466511,0.0064200574
0.161,4531.9157,4017.8504,3163.9147,-0.53840023,4.753489,1.3558239,2.2236031,0.3507664,2.3473206,6.3392706,6.3479337,0.0064130706
0.162,4535.0124,4017.312,3165.9624,-0.5376293,4.7512688,1.3554735,2.2202098,0.35046143,2.3489919,6.3351046,6.349215,0.0064062001
0.163,4538.0228,4016.7744,3167.9537,-0.53687529,4.7490519,1.3551233,2.2168871,0.35016247,2.3506184,6.3310244,6.3504948,0.0063994437
0.164,4540.949,4016.2375,3169.8899,-0.53613786,4.7468383,1.3547734,2.2136337,0.34986941,2.3522011,6.3270284,6.3517734,0.0063927992
0.165,4543.7929,4015.7014,3171.7723,-0.53541668,4.7446278,1.3544238,2.2104481,0.34958214,2.3537409,6.3231151,6.3530507,0.0063862645
0.166,4546.5564,4015.166,3173.602,-0.53471143,4.7424205,1.3540745,2.207329,0.34930056,2.3552389,6.3192828,6.3543266,0.0063798375
0.167,4549.2413,4014.6312,3175.3804,-0.53402179,4.7402162,1.3537255,2.2042751,0.34902455,2.3566959,6.3155302,6.3556013,0.0063735162
0.168,4551.8495,4014.0972,3177.1085,-0.53334744,4.7380149,1.3533768,2.201285,0.34875401,2.3581129,6.3118557,6.3568748,0.0063672986
0.169,4554.3828,4013.5639,3178.7876,-0.53268808,4.7358166,1.3530283,2.1983574,0.34848883,2.3594908,6.3082578,6.358147,0.0063611825
0.17,4556.8428,4013.0312,3180.4188,-0.53204339,4.7336211,1.3526801,2.195491,0.34822891,2.3608304,6.3047351,6.3594181,0.0063551661
0.171,4559.2314,4012.4991,3182.0031,-0.53141309,4.7314284,1.3523321,2.1926846,0.34797414,2.3621327,6.3012861,6.3606879,0.0063492475
0.172,4561.5501,4011.9677,3183.5417,-0.53079687,4.7292384,1.3519844,2.189937,0.34772444,2.3633984,6.2979095,6.3619566,0.0063434246
0.173,4563.8006,4011.4369,3185.0356,-0.53019444,4.7270512,1.3516369,2.1872469,0.34747968,2.3646285,6.2946037,6.3632241,0.0063376955
0.174,4565.9845,4010.9067,3186.4859,-0.52960552,4.7248666,1.3512896,2.1846131,0.34723979,2.3658237,6.2913675,6.3644905,0.0063320585
0.175,4568.1034,4010.3771,3187.8935,-0.52902982,4.7226846,1.3509426,2.1820345,0.34700466,2.3669848,6.2881995,6.3657558,0.0063265117
0.176,4570.1587,4009.8481,3189.2595,-0.52846708,4.720505,1.3505959,2.1795099,0.34677419,2.3681126,6.2850982,6.3670201,0.0063210532
0.177,4572.152,4009.3196,3190.5848,-0.52791702,4.718328,1.3502493,2.1770381,0.3465483,2.3692079,6.2820625,6.3682832,0.0063156813
0.178,4574.0847,4008.7917,3191.8704,-0.52737936,4.7161534,1.349903,2.174618,0.34632688,2.3702714,6.279091,6.3695453,0.0063103942
0.179,4575.9583,4008.2643,3193.1173,-0.52685386,4.7139811,1.3495569,2.1722486,0.34610985,2.3713038,6.2761824,6.3708063,0.0063051902
