"Time Sec","Position mm","100 kN kN","Cycle"
16.2,19.8944,-0.10826,1
16.3,19.7962,-0.0992417,1
16.4,19.6943,-0.0989079,1
16.5,19.5954,-0.101554,1
16.6,19.4949,-0.110191,1
16.7,19.3968,-0.0988185,1
16.8,19.2944,-0.106251,1
16.9,19.1971,-0.104547,1
17.,19.0961,-0.108027,1
17.1,18.9948,-0.107265,1
17.2,18.8934,-0.10891,1
17.3,18.795,-0.103658,1
17.4,18.6947,-0.100428,1
17.5,18.5938,-0.111431,1
17.6,18.4966,-0.099355,1
17.7,18.3939,-0.109941,1
17.8,18.2964,-0.103003,1
17.9,18.1944,-0.110847,1
18.,18.0961,-0.109988,1
18.1,17.9949,-0.102705,1
18.2,17.897,-0.109726,1
18.3,17.7948,-0.099802,1
18.4,17.6963,-0.10556,1
18.5,17.5954,-0.110483,1
18.6,17.4957,-0.109375,1
18.7,17.3939,-0.113237,1
18.8,17.2946,-0.106817,1
18.9,17.1949,-0.104159,1
19.,17.0955,-0.10497,1
19.1,16.9932,-0.109529,1
19.2,16.8951,-0.107419,1
19.3,16.7951,-0.107056,1
19.4,16.6949,-0.112915,1
19.5,16.5969,-0.109363,1
19.6,16.494,-0.0993729,1
19.7,16.3939,-0.106329,1
19.8,16.294,-0.113523,1
19.9,16.1953,-0.105226,1
20.,16.0948,-0.110412,1
20.1,15.9949,-0.107551,1
20.2,15.8956,-0.105053,1
20.3,15.7965,-0.104582,1
20.4,15.694,-0.108427,1
20.5,15.5965,-0.0972807,1
20.6,15.4956,-0.100988,1
20.7,15.3961,-0.107718,1
20.8,15.2965,-0.100017,1
20.9,15.1952,-0.105095,1
21.,15.0955,-0.097543,1
21.1,14.9944,-0.105196,1
21.2,14.8949,-0.100476,1
21.3,14.7956,-0.102639,1
21.4,14.6948,-0.100064,1
21.5,14.5959,-0.101137,1
21.6,14.4952,-0.0945091,1
21.7,14.396,-0.0982821,1
21.8,14.2946,-0.101203,1
21.9,14.196,-0.0892162,1
22.,14.0942,-0.0921071,1
22.1,13.9949,-0.0962198,1
22.2,13.895,-0.085938,1
22.3,13.7952,-0.0838995,1
22.4,13.6961,-0.0868738,1
22.5,13.5949,-0.0858068,1
22.6,13.4949,-0.0821412,1
22.7,13.3964,-0.0730813,1
22.8,13.2944,-0.0867367,1
22.9,13.1959,-0.0756979,1
23.,13.0962,-0.0765145,1
23.1,12.9957,-0.0669181,1
23.2,12.8949,-0.0750124,1
23.3,12.7948,-0.0595272,1
23.4,12.6952,-0.0614762,1
23.5,12.5948,-0.0754178,1
23.6,12.495,-0.0630438,1
23.7,12.3943,-0.0573933,1
23.8,12.2969,-0.0567615,1
23.9,12.1952,-0.0545919,1
24.,12.097,-0.0504196,1
