"Time Sec","Position mm","200LB lb","Cycle"
0.,11.8499,-1.14552,1
0.1,11.7528,-2.54513,1
0.2,11.6523,-4.47776,1
0.3,11.5534,-7.4205,1
0.4,11.4533,-10.5617,1
0.5,11.3512,-13.7796,1
0.6,11.2532,-16.3859,1
0.7,11.1507,-18.0943,1
0.8,11.0524,-18.8356,1
0.9,10.9504,-18.9907,1
1.,10.8514,-18.8365,1
1.1,10.7492,-18.8346,1
1.2,10.6509,-18.1705,1
1.3,10.5498,-17.755,1
1.4,10.4519,-17.4022,1
1.5,10.3497,-17.1564,1
1.6,10.2504,-17.2179,1
1.7,10.1514,-16.9693,1
1.8,10.0479,-16.7043,1
1.9,9.94981,-16.9679,1
2.,9.84986,-17.2756,1
2.1,9.74969,-17.572,1
2.2,9.64873,-17.3452,1
2.3,9.54968,-17.3142,1
2.4,9.44896,-17.5623,1
2.5,9.35139,-17.8717,1
2.6,9.24909,-17.8976,1
2.7,9.15099,-17.7606,1
2.8,9.0497,-17.8234,1
2.9,8.94956,-17.8733,1
3.,8.84883,-17.5954,1
3.1,8.75041,-17.4198,1
3.2,8.64951,-17.3076,1
3.3,8.55022,-17.2142,1
3.4,8.44844,-16.9591,1
3.5,8.35038,-16.7454,1
3.6,8.25096,-16.5572,1
3.7,8.14848,-16.6964,1
3.8,8.05047,-16.7504,1
3.9,7.94821,-16.9449,1
4.,7.85046,-16.9859,1
4.1,7.74785,-17.1487,1
4.2,7.65103,-16.8333,1
4.3,7.54743,-16.5018,1
4.4,7.45111,-16.2321,1
4.5,7.34922,-16.0922,1
4.6,7.24991,-16.0082,1
4.7,7.14973,-15.6519,1
4.8,7.04995,-15.1962,1
4.9,6.94882,-14.792,1
5.,6.84967,-14.3516,1
5.1,6.74944,-14.3885,1
5.2,6.65055,-14.2693,1
5.3,6.54904,-14.3015,1
5.4,6.44897,-14.3564,1
5.5,6.35045,-14.4024,1
5.6,6.24903,-14.7769,1
5.7,6.15011,-14.8269,1
5.8,6.04991,-15.0005,1
5.9,5.95014,-14.8382,1
6.,5.84891,-14.661,1
6.1,5.75054,-14.6585,1
6.2,5.64971,-14.3275,1
6.3,5.55178,-13.9943,1
6.4,5.45029,-13.7885,1
6.5,5.34959,-13.6439,1
6.6,5.24925,-13.4726,1
6.7,5.14926,-13.3474,1
6.8,5.04952,-13.3115,1
6.9,4.95013,-13.3011,1
7.,4.85125,-13.2095,1
7.1,4.74822,-13.0687,1
7.2,4.65068,-13.0776,1
7.3,4.54991,-13.2802,1
7.4,4.44978,-13.2481,1
7.5,4.34894,-13.5705,1
7.6,4.25083,-13.741,1
7.7,4.14984,-14.1765,1
7.8,4.04956,-13.9706,1
7.9,3.95057,-14.308,1
8.,3.85038,-14.4247,1
8.1,3.75107,-14.4724,1
8.2,3.65008,-14.6577,1
8.3,3.55214,-14.8397,1
8.4,3.44851,-14.7355,1
8.5,3.35017,-14.8378,1
8.6,3.2495,-14.8303,1
8.7,3.14896,-14.9331,1
8.8,3.04849,-14.9634,1
8.9,2.951,-15.0287,1
9.,2.84874,-14.8228,1
9.1,2.75014,-14.7617,1
9.2,2.65035,-14.8023,1
9.3,2.55148,-14.6367,1
9.4,2.44946,-14.7801,1
9.5,2.3492,-14.7903,1
9.6,2.25048,-14.71,1
9.7,2.14973,-14.8197,1
9.8,2.0504,-14.8113,1
9.9,1.94891,-14.7719,1
10.,1.85037,-14.6331,1
10.1,1.74883,-14.5499,1
10.2,1.65132,-14.3654,1
10.3,1.54994,-14.2625,1
10.4,1.451,-13.8675,1
10.5,1.34822,-13.8266,1
10.6,1.25013,-13.7483,1
10.7,1.15078,-13.6678,1
10.8,1.05049,-13.36,1
10.9,0.949327,-13.3693,1
11.,0.851162,-13.2086,1
11.1,0.748942,-13.0193,1
11.2,0.650926,-12.8931,1
11.3,0.549723,-12.8708,1
11.4,0.449933,-12.757,1
11.5,0.349573,-12.6479,1
11.6,0.248971,-12.4456,1
11.7,0.15072,-12.2752,1
11.8,0.0491196,-12.1394,1
11.9,-0.0494606,-11.9454,1
12.,-0.150066,-11.8016,1
12.1,-0.248268,-11.5712,1
12.2,-0.349796,-11.0954,1
12.3,-0.450107,-10.5046,1
12.4,-0.549552,-9.85806,1
12.5,-0.648517,-9.1997,1
12.6,-0.7507,-8.46961,1
12.7,-0.849212,-7.59057,1
12.8,-0.949352,-6.58492,1
12.9,-1.05074,-5.56828,1
13.,-1.14965,-4.68907,1
13.1,-1.24959,-3.79925,1
13.2,-1.35022,-3.11896,1
13.3,-1.45033,-2.45624,1
13.4,-1.54906,-1.66777,1
13.5,-1.65013,-0.785077,1
13.6,-1.75032,0.0359297,1
13.7,-1.8498,0.239825,1
13.8,-1.94861,-0.0250816,1
13.9,-2.05015,-0.00408888,1
14.,-2.14858,0.228786,1
14.1,-2.24937,0.394845,1
14.2,-2.3485,0.134993,1
14.3,-2.44981,0.258851,1
14.4,-2.55157,0.163269,1
14.5,-2.64914,0.1472,1
14.6,-2.74957,0.0129223,1
14.7,-2.85086,0.0619888,1
14.8,-2.95031,0.164413,1
14.9,-3.04957,0.0780582,1
15.,-3.15125,0.0167131,1
15.1,-3.24947,0.278783,1
15.2,-3.34975,0.0598669,1
15.3,-3.44824,-0.0782013,1
15.4,-3.54915,0.285387,1
15.5,-3.64835,0.0940561,1
15.6,-3.74956,0.227022,1
15.7,-3.84826,0.27802,1
15.8,-3.95001,0.137019,1
15.9,-4.04939,0.0640869,1
16.,-4.1496,0.0432014,1
16.1,-4.25025,0.160456,1
16.2,-4.34908,0.14739,1
16.3,-4.44994,-0.0158668,1
16.4,-4.54964,0.116658,1
16.5,-4.65031,0.0969887,1
16.6,-4.74975,0.0679493,1
16.7,-4.84977,-0.092876,1
16.8,-4.94819,-0.0412703,1
16.9,-5.0496,0.377965,1
17.,-5.14901,0.262213,1
17.1,-5.25045,0.232553,1
17.2,-5.34794,0.132346,1
17.3,-5.45097,0.245643,1
17.4,-5.54995,0.240397,1
17.5,-5.64929,0.240445,1
17.6,-5.75088,0.191545,1
17.7,-5.84931,0.0724554,1
17.8,-5.94841,0.181413,1
17.9,-6.04927,0.172162,1
18.,-6.15012,0.422239,1
18.1,-6.24954,0.202799,1
18.2,-6.35015,0.142884,1
18.3,-6.44835,0.251985,1
18.4,-6.54857,0.250268,1
18.5,-6.6493,0.775528,1
18.6,-6.75098,0.362015,1
18.7,-6.84904,0.290394,1
18.8,-6.94942,0.432801,1
18.9,-7.04852,0.385714,1
19.,-7.14938,0.399613,1
19.1,-7.24868,0.0268459,1
19.2,-7.3502,0.213933,1
19.3,-7.44844,0.0347614,1
19.4,-7.54904,0.208473,1
19.5,-7.64856,0.421309,1
19.6,-7.74835,0.185776,1
19.7,-7.8509,0.062108,1
19.8,-7.94798,-0.00339746,1
19.9,-8.05063,0.156093,1
20.,-8.14892,0.235963,1
20.1,-8.2506,-0.003016,1
20.2,-8.34799,-0.0314474,1
20.3,-8.45044,0.193667,1
20.4,-8.54876,0.116086,1
20.5,-8.64948,-0.00925064,1
20.6,-8.7484,0.438952,1
20.7,-8.84943,0.221395,1
20.8,-8.94898,-0.055182,1
20.9,-9.04936,-0.0764012,1
21.,-9.14817,0.134063,1
21.1,-9.24876,0.214934,1
21.2,-9.3484,0.134587,1
21.3,-9.44851,0.293422,1
21.4,-9.54907,0.350213,1
21.5,-9.64765,0.249648,1
21.6,-9.74806,0.222015,1
21.7,-9.84735,0.197124,1
21.8,-9.95002,0.0679731,1
21.9,-10.0484,0.00193119,1
22.,-10.1499,0.0947475,1
22.1,-10.2495,0.112748,1
22.2,-10.3491,0.121117,1
22.3,-10.4485,0.00488758,1
22.4,-10.5479,0.279403,1
22.5,-10.6495,0.16892,1
22.6,-10.7486,0.282741,1
22.7,-10.8479,0.224781,1
22.8,-10.9485,0.0945568,1
22.9,-11.049,0.303054,1
23.,-11.1496,0.0226021,1
23.1,-11.2488,0.0427961,1
23.2,-11.3482,-0.0928402,1
23.3,-10.0957,0.380945,1
23.4,-7.48397,0.262284,1
23.5,-4.87406,0.208259,1
23.6,-2.26482,0.0371218,1
23.7,0.344147,0.189257,1
23.8,2.95378,0.105858,1
23.9,5.56119,0.206232,1
24.,8.16555,0.172925,1
24.1,10.7735,0.220537,1
24.2,11.9132,0.236225,1
24.3,11.9046,0.296402,1
24.4,11.8996,0.20678,1
24.5,11.8952,0.273776,1
24.6,11.889,0.075841,1
24.7,11.8866,0.208592,1
24.8,11.882,0.203896,1
24.9,11.8809,0.214815,1
25.,11.8774,0.194263,1
25.1,11.8753,0.216413,1
25.2,11.8703,0.118303,1
25.3,11.8695,0.201488,1
25.4,11.8667,0.195718,1
25.5,11.8672,0.238919,1
25.6,11.8662,0.209618,1
25.7,11.8621,0.149417,1
25.8,11.8627,0.283074,1
25.9,11.8603,0.18301,1
