Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
51	47	0	0.588472076	293.21024	293.208196	293.204594	293.21024	0.00406886458	0	0	5.62094	0	0	3
52	48	0	0.600010745	293.210279	293.208326	293.20519	293.210279	0.00408004274	0	0	5.61861	0	0	3
53	49	0	0.611549413	293.210304	293.208442	293.205673	293.210304	0.0040535227	0	0	5.6197	0	0	3
54	50	0	0.623088081	293.210319	293.208547	293.206177	293.210319	0.00399650405	0	0	5.61767	0	0	3
55	51	0	0.634626749	293.21032	293.208642	293.206437	293.21032	0.0038832607	0	0	5.61952	0	0	3
56	51	0	0.646165417	293.210317	293.20873	293.20657	293.21032	0.00375004683	0	0	5.61745	0	0	3
57	52	0	0.657704085	293.210302	293.208815	293.206644	293.21032	0.0036769656	0	0	5.6202	0	0	3
58	53	0	0.669242754	293.210284	293.208897	293.206746	293.21032	0.00357464606	0	0	5.61723	0	0	3
59	54	0	0.680781422	293.210268	293.208977	293.206894	293.21032	0.00342667263	0	0	5.62036	0	0	3
60	54	0	0.69232009	293.210258	293.209054	293.207047	293.21032	0.0032736467	0	0	5.6171	0	0	3
61	55	0	0.703858758	293.21024	293.209126	293.207199	293.21032	0.00312145134	0	0	5.62018	0	0	3
62	56	0	0.715397426	293.210226	293.209195	293.207349	293.21032	0.00297149982	0	0	5.61672	0	0	3
63	57	0	0.726936094	293.210213	293.20926	293.207498	293.21032	0.002822544	0	0	5.61998	0	0	3
64	58	0	0.738474763	293.210205	293.209322	293.207705	293.21032	0.00261500336	0	0	5.61635	0	0	3
65	58	0	0.750013431	293.210189	293.209378	293.207904	293.21032	0.00241639906	0	0	5.61984	0	0	3
66	59	0	0.761552099	293.210182	293.20943	293.208087	293.21032	0.00223370304	0	0	5.6162	0	0	3
67	60	0	0.773090767	293.21017	293.209477	293.20825	293.21032	0.00207001251	0	0	5.61989	0	0	3
68	61	0	0.784629435	293.210157	293.209521	293.208367	293.21032	0.001953061	0	0	5.61579	0	0	3
69	62	0	0.796168103	293.210144	293.209561	293.208367	293.21032	0.001953061	0	0	5.61986	0	0	3
70	62	0	0.807706772	293.210133	293.209596	293.208367	293.21032	0.001953061	0	0	5.6157	0	0	3
71	63	0	0.81924544	293.21012	293.209629	293.208367	293.21032	0.001953061	0	0	5.61989	0	0	3
72	64	0	0.830784108	293.210112	293.20966	293.208367	293.21032	0.001953061	0	0	5.61552	0	0	3
73	65	0	0.842322776	293.210102	293.20969	293.208367	293.21032	0.001953061	0	0	5.61973	0	0	3
74	65	0	0.853861444	293.210099	293.209719	293.208367	293.21032	0.001953061	0	0	5.6154	0	0	3
75	66	0	0.865400112	293.210093	293.209749	293.208367	293.21032	0.001953061	0	0	5.61988	0	0	3
