Iteration	CPUTime	PhysTime	Travels
1	1	0	0.025
2	1	0	0.05
3	2	0	0.075
4	2	0	0.1
5	2	0	0.125
6	2	0	0.15
7	2	0	0.175
8	3	0	0.2
9	3	0	0.225
10	3	0	0.25
11	3	0	0.275
12	4	0	0.3
13	4	0	0.325
14	4	0	0.35
15	4	0	0.375
16	4	0	0.4
17	5	0	0.425
18	5	0	0.45
19	5	0	0.475
20	5	0	0.5
21	6	0	0.525
22	6	0	0.55
23	6	0	0.575
24	6	0	0.6
25	7	0	0.625
26	7	0	0.65
27	7	0	0.675
28	7	0	0.7
29	8	0	0.725
30	8	0	0.75
31	8	0	0.775
32	8	0	0.8
33	9	0	0.825
34	9	0	0.85
35	9	0	0.875
36	9	0	0.9
37	9	0	0.925
38	10	0	0.95
39	10	0	0.975
40	10	0	1
41	10	0	1.025
42	10	0	1.05
43	11	0	1.075
44	11	0	1.1
45	11	0	1.125
46	11	0	1.15
47	12	0	1.175
48	12	0	1.2
49	12	0	1.225
50	12	0	1.25
51	13	0	1.275
52	13	0	1.3
53	13	0	1.325
54	13	0	1.35
55	13	0	1.375
56	14	0	1.4
57	14	0	1.425
58	14	0	1.45
59	15	0	1.475
60	15	0	1.5
61	15	0	1.525
62	15	0	1.55
63	16	0	1.575
64	16	0	1.6
65	16	0	1.625
66	16	0	1.65
67	16	0	1.675
68	17	0	1.7
69	17	0	1.725
70	17	0	1.75
71	17	0	1.775
72	17	0	1.8
73	18	0	1.825
74	18	0	1.85
75	18	0	1.875
76	18	0	1.9
