Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
60	54	0	0.69232009	101323.089	101322.193	101319.045	101323.217	4.1719711	0	0	4664.75	0	0	3
61	55	0	0.703858758	101323.088	101322.285	101319.472	101323.217	3.74501934	0	0	4659.11	0	0	3
62	56	0	0.715397426	101323.091	101322.367	101319.864	101323.217	3.35228488	0	0	4661.56	0	0	3
63	57	0	0.726936094	101323.088	101322.44	101320.183	101323.217	3.03323087	0	0	4656.41	0	0	3
64	58	0	0.738474763	101323.082	101322.506	101320.438	101323.217	2.77870634	0	0	4658.84	0	0	3
65	58	0	0.750013431	101323.085	101322.566	101320.729	101323.217	2.48752625	0	0	4654.31	0	0	3
66	59	0	0.761552099	101323.084	101322.62	101320.959	101323.217	2.25801224	0	0	4656.64	0	0	3
67	60	0	0.773090767	101323.085	101322.668	101321.155	101323.217	2.06199463	0	0	4652.6	0	0	3
68	61	0	0.784629435	101323.094	101322.712	101321.325	101323.217	1.89176239	0	0	4654.78	0	0	3
69	62	0	0.796168103	101323.1	101322.753	101321.454	101323.217	1.76260234	0	0	4651.25	0	0	3
70	62	0	0.807706772	101323.106	101322.79	101321.583	101323.217	1.63367568	0	0	4653.4	0	0	3
71	63	0	0.81924544	101323.112	101322.825	101321.692	101323.217	1.52424435	0	0	4650.21	0	0	3
72	64	0	0.830784108	101323.113	101322.857	101321.769	101323.217	1.44780363	0	0	4652.38	0	0	3
73	65	0	0.842322776	101323.113	101322.888	101321.824	101323.217	1.3923795	0	0	4649.41	0	0	3
74	65	0	0.853861444	101323.104	101322.917	101321.884	101323.217	1.33238903	0	0	4651.56	0	0	3
75	66	0	0.865400112	101323.096	101322.944	101321.958	101323.217	1.25847905	0	0	4648.77	0	0	3
76	67	0	0.876938781	101323.093	101322.97	101322.035	101323.217	1.18168526	0	0	4650.95	0	0	3
77	68	0	0.888477449	101323.09	101322.994	101322.131	101323.217	1.08546611	0	0	4648.28	0	0	3
78	69	0	0.900016117	101323.096	101323.016	101322.247	101323.217	0.969548872	0	0	4650.44	0	0	3
79	69	0	0.911554785	101323.106	101323.036	101322.333	101323.217	0.883957704	0	0	4647.88	0	0	3
80	70	0	0.923093453	101323.114	101323.053	101322.43	101323.217	0.786697372	0	0	4650.2	0	0	3
81	71	0	0.934632121	101323.115	101323.069	101322.535	101323.217	0.68179302	0	0	4647.6	0	0	3
82	72	0	0.94617079	101323.114	101323.082	101322.623	101323.217	0.593664867	0	0	4649.94	0	0	3
83	72	0	0.957709458	101323.113	101323.093	101322.712	101323.217	0.504767229	0	0	4647.42	0	0	3
84	73	0	0.969248126	101323.115	101323.102	101322.79	101323.217	0.426288542	0	0	4649.83	0	0	3
85	74	0	0.980786794	101323.114	101323.11	101322.875	101323.217	0.342010025	0	0	4647.28	0	0	3
86	75	0	0.992325462	101323.115	101323.115	101322.97	101323.217	0.246480971	0	0	4649.67	0	0	3
87	76	0	1.00386413	101323.122	101323.119	101323.053	101323.217	0.163605616	1.74078773	100	4647.23	0	0	3
88	76	0	1.0154028	101323.132	101323.121	101323.082	101323.217	0.134592462	1.74078773	100	4649.7	0	0	3
89	77	0	1.02694147	101323.136	101323.121	101323.082	101323.217	0.134592462	1.74078773	100	4647.24	0	0	3
90	78	0	1.03848013	101323.142	101323.12	101323.082	101323.217	0.134592462	1.74078773	100	4649.61	0	0	3
91	79	0	1.0500188	101323.148	101323.119	101323.082	101323.217	0.134592462	1.74078773	100	4647.34	0	0	3
92	79	0	1.06155747	101323.154	101323.117	101323.082	101323.207	0.124928215	1.74078773	100	4649.54	0	0	3
93	80	0	1.07309614	101323.157	101323.116	101323.082	101323.197	0.115053564	1.74078773	100	4647.49	0	0	3
94	81	0	1.08463481	101323.159	101323.115	101323.082	101323.191	0.109187686	1.74078773	100	4649.47	0	0	3
95	82	0	1.09617348	101323.163	101323.115	101323.082	101323.18	0.0985074588	1.74078773	100	4647.7	0	0	3
96	83	0	1.10771214	101323.174	101323.114	101323.082	101323.174	0.0920554062	1.74078773	100	4649.35	0	0	3
97	83	0	1.11925081	101323.178	101323.115	101323.082	101323.178	0.0956893879	1.74078773	100	4647.98	0	0	3
98	84	0	1.13078948	101323.185	101323.116	101323.082	101323.185	0.102671789	1.74078773	100	4649.32	0	0	3
99	85	0	1.14232815	101323.191	101323.118	101323.082	101323.191	0.109308039	1.74078773	100	4648.27	0	0	3
100	86	0	1.15386682	101323.201	101323.12	101323.082	101323.201	0.119253012	1.74078773	100	4649.31	0	0	3
101	87	0	1.16540548	101323.202	101323.122	101323.082	101323.202	0.120399892	1.74078773	100	4648.46	0	0	3
102	88	0	1.17694415	101323.204	101323.124	101323.082	101323.204	0.121912824	1.74078773	100	4648.61	0	0	3
103	88	0	1.18848282	101323.205	101323.126	101323.082	101323.205	0.123310812	1.74078773	100	4648.35	0	0	3
