Iteration	CPUTime	PhysTime	Travels
1	11	0	0.0108260664
2	13	0	0.0216521329
3	16	0	0.0324781993
4	18	0	0.0433042658
5	20	0	0.0541303322
6	22	0	0.0649563987
7	24	0	0.0757824651
8	26	0	0.0866085316
9	28	0	0.097434598
10	30	0	0.108260664
11	32	0	0.119086731
12	33	0	0.129912797
13	35	0	0.140738864
14	37	0	0.15156493
15	39	0	0.162390997
16	41	0	0.173217063
17	43	0	0.18404313
18	45	0	0.194869196
19	47	0	0.205695262
20	49	0	0.216521329
21	51	0	0.227347395
22	54	0	0.238173462
23	56	0	0.248999528
24	57	0	0.259825595
25	59	0	0.270651661
26	61	0	0.281477728
27	63	0	0.292303794
28	65	0	0.30312986
29	67	0	0.313955927
30	69	0	0.324781993
31	71	0	0.33560806
32	73	0	0.346434126
33	75	0	0.357260193
34	77	0	0.368086259
35	79	0	0.378912326
36	81	0	0.389738392
37	83	0	0.400564458
38	85	0	0.411390525
39	87	0	0.422216591
40	89	0	0.433042658
41	92	0	0.443868724
42	94	0	0.454694791
43	96	0	0.465520857
44	98	0	0.476346924
45	99	0	0.48717299
46	102	0	0.497999056
47	104	0	0.508825123
48	106	0	0.519651189
49	107	0	0.530477256
50	109	0	0.541303322
51	111	0	0.552129389
52	113	0	0.562955455
53	115	0	0.573781522
54	117	0	0.584607588
55	119	0	0.595433654
56	121	0	0.606259721
57	122	0	0.617085787
58	124	0	0.627911854
59	126	0	0.63873792
60	128	0	0.649563987
61	130	0	0.660390053
62	132	0	0.67121612
63	134	0	0.682042186
64	136	0	0.692868252
65	138	0	0.703694319
66	140	0	0.714520385
67	141	0	0.725346452
68	143	0	0.736172518
69	145	0	0.746998585
70	147	0	0.757824651
71	149	0	0.768650718
72	151	0	0.779476784
73	152	0	0.79030285
74	154	0	0.801128917
75	156	0	0.811954983
76	158	0	0.82278105
77	160	0	0.833607116
78	162	0	0.844433183
79	164	0	0.855259249
80	166	0	0.866085316
81	167	0	0.876911382
82	169	0	0.887737449
83	171	0	0.898563515
84	173	0	0.909389581
85	175	0	0.920215648
86	177	0	0.931041714
87	179	0	0.941867781
88	181	0	0.952693847
89	183	0	0.963519914
90	185	0	0.97434598
91	188	0	0.985172047
92	189	0	0.995998113
93	191	0	1.00682418
